Date,Value
1999-12-01,1428.68
1999-11-01,1391.0
1999-10-01,1300.01
1999-09-01,1318.17
1999-08-01,1327.49
1999-07-01,1380.99
1999-06-01,1322.55
1999-05-01,1332.07
1999-04-01,1334.76
1999-03-01,1281.66
1999-02-01,1246.58
1999-01-01,1248.77
1998-12-01,1190.05
1998-11-01,1144.43
1998-10-01,1032.47
1998-09-01,1020.64
1998-08-01,1074.62
1998-07-01,1156.58
1998-06-01,1108.39
1998-05-01,1108.42
1998-04-01,1112.2
1998-03-01,1076.83
1998-02-01,1023.74
1998-01-01,963.36
1997-12-01,962.37
1997-11-01,938.92
1997-10-01,951.16
1997-09-01,937.02
1997-08-01,927.24
1997-07-01,925.29
1997-06-01,876.29
1997-05-01,833.09
1997-04-01,763.93
1997-03-01,792.16
1997-02-01,798.39
1997-01-01,766.22
1996-12-01,743.25
1996-11-01,735.67
1996-10-01,701.46
1996-09-01,674.88
1996-08-01,662.68
1996-07-01,644.07
1996-06-01,668.5
1996-05-01,661.23
1996-04-01,647.17
1996-03-01,647.07
1996-02-01,649.54
1996-01-01,614.42
1995-12-01,614.57
1995-11-01,595.53
1995-10-01,582.92
1995-09-01,578.77
1995-08-01,559.11
1995-07-01,557.37
1995-06-01,539.35
1995-05-01,523.81
1995-04-01,507.91
1995-03-01,493.15
1995-02-01,481.92
1995-01-01,465.25
1994-12-01,455.19
1994-11-01,461.01
1994-10-01,463.81
1994-09-01,466.96
1994-08-01,464.24
1994-07-01,451.4
1994-06-01,454.83
1994-05-01,450.9
1994-04-01,447.23
1994-03-01,463.81
1994-02-01,471.58
1994-01-01,472.99
1993-12-01,465.95
1993-11-01,462.89
1993-10-01,463.9
1993-09-01,459.24
1993-08-01,454.13
1993-07-01,447.29
1993-06-01,448.06
1993-05-01,445.25
1993-04-01,443.08
1993-03-01,450.16
1993-02-01,441.7
1993-01-01,435.23
1992-12-01,435.64
1992-11-01,422.84
1992-10-01,412.5
1992-09-01,418.48
1992-08-01,417.93
1992-07-01,415.05
1992-06-01,408.27
1992-05-01,414.81
1992-04-01,407.41
1992-03-01,407.36
1992-02-01,412.56
1992-01-01,416.08
1991-12-01,388.51
1991-11-01,385.92
1991-10-01,386.88
1991-09-01,387.2
1991-08-01,389.4
1991-07-01,380.23
1991-06-01,378.29
1991-05-01,377.99
1991-04-01,379.68
1991-03-01,372.28
1991-02-01,362.26
1991-01-01,325.49
1990-12-01,328.75
1990-11-01,315.29
1990-10-01,307.12
1990-09-01,315.41
1990-08-01,330.75
1990-07-01,360.03
1990-06-01,360.39
1990-05-01,350.25
1990-04-01,338.18
1990-03-01,338.46
1990-02-01,330.45
1990-01-01,339.97
