Date,Value
2009-12-01,1110.38
2009-11-01,1088.07
2009-10-01,1067.66
2009-09-01,1044.55
2009-08-01,1009.73
2009-07-01,935.82
2009-06-01,926.12
2009-05-01,902.41
2009-04-01,848.15
2009-03-01,757.13
2009-02-01,805.23
2009-01-01,865.58
2008-12-01,877.56
2008-11-01,883.04
2008-10-01,968.8
2008-09-01,1216.95
2008-08-01,1281.47
2008-07-01,1257.33
2008-06-01,1341.25
2008-05-01,1403.22
2008-04-01,1370.47
2008-03-01,1316.94
2008-02-01,1354.87
2008-01-01,1378.76
2007-12-01,1479.22
2007-11-01,1463.39
2007-10-01,1539.66
2007-09-01,1497.12
2007-08-01,1454.62
2007-07-01,1520.71
2007-06-01,1514.19
2007-05-01,1511.14
2007-04-01,1463.64
2007-03-01,1406.95
2007-02-01,1444.8
2007-01-01,1424.16
2006-12-01,1416.42
2006-11-01,1388.64
2006-10-01,1363.38
2006-09-01,1317.74
2006-08-01,1287.15
2006-07-01,1260.24
2006-06-01,1253.17
2006-05-01,1290.01
2006-04-01,1302.17
2006-03-01,1293.74
2006-02-01,1276.65
2006-01-01,1278.73
2005-12-01,1262.07
2005-11-01,1237.37
2005-10-01,1191.96
2005-09-01,1225.92
2005-08-01,1224.27
2005-07-01,1222.24
2005-06-01,1202.25
2005-05-01,1178.28
2005-04-01,1164.43
2005-03-01,1194.9
2005-02-01,1199.63
2005-01-01,1181.41
2004-12-01,1199.21
2004-11-01,1168.94
2004-10-01,1117.21
2004-09-01,1117.66
2004-08-01,1088.94
2004-07-01,1105.85
2004-06-01,1132.76
2004-05-01,1102.78
2004-04-01,1133.36
2004-03-01,1123.98
2004-02-01,1143.36
2004-01-01,1132.52
2003-12-01,1080.64
2003-11-01,1049.9
2003-10-01,1038.73
2003-09-01,1019.44
2003-08-01,989.53
2003-07-01,992.54
2003-06-01,988.0
2003-05-01,935.96
2003-04-01,890.03
2003-03-01,846.63
2003-02-01,837.03
2003-01-01,895.84
2002-12-01,899.18
2002-11-01,909.93
2002-10-01,854.63
2002-09-01,867.81
2002-08-01,912.55
2002-07-01,903.59
2002-06-01,1014.02
2002-05-01,1079.25
2002-04-01,1111.93
2002-03-01,1153.79
2002-02-01,1100.67
2002-01-01,1140.21
2001-12-01,1144.93
2001-11-01,1129.68
2001-10-01,1076.59
2001-09-01,1044.64
2001-08-01,1178.5
2001-07-01,1204.45
2001-06-01,1238.71
2001-05-01,1270.37
2001-04-01,1189.84
2001-03-01,1185.85
2001-02-01,1305.75
2001-01-01,1335.63
2000-12-01,1330.93
2000-11-01,1378.04
2000-10-01,1390.14
2000-09-01,1468.05
2000-08-01,1485.46
2000-07-01,1473.0
2000-06-01,1461.96
2000-05-01,1418.48
2000-04-01,1461.36
2000-03-01,1442.21
2000-02-01,1388.87
2000-01-01,1425.59
